dates,acute,icu
01/10/2020,15,1
02/10/2020,17,1
03/10/2020,20,1
04/10/2020,23,1
05/10/2020,25,0
06/10/2020,27,0
07/10/2020,24,2
08/10/2020,21,2
09/10/2020,24,0
10/10/2020,26,0
11/10/2020,29,0
12/10/2020,34,1
13/10/2020,29,2
14/10/2020,29,2
15/10/2020,31,3
16/10/2020,35,3
17/10/2020,34,5
18/10/2020,37,7
19/10/2020,41,6
20/10/2020,40,8
21/10/2020,41,7
22/10/2020,52,7
23/10/2020,55,5
24/10/2020,52,4
25/10/2020,56,5
26/10/2020,71,5
27/10/2020,77,7
28/10/2020,89,9
29/10/2020,89,10
30/10/2020,94,10
31/10/2020,117,14
01/11/2020,102,12
02/11/2020,116,12
03/11/2020,118,16
04/11/2020,119,19
05/11/2020,112,24
06/11/2020,131,22
07/11/2020,151,21
08/11/2020,158,20
09/11/2020,168,19
10/11/2020,180,20
11/11/2020,180,21
12/11/2020,176,20
13/11/2020,180,22
14/11/2020,201,24
15/11/2020,209,24
16/11/2020,210,26
17/11/2020,229,25
18/11/2020,213,24
19/11/2020,233,22
20/11/2020,242,22
21/11/2020,0,0
22/11/2020,0,0
23/11/2020,0,0
24/11/2020,0,0
25/11/2020,0,0
26/11/2020,0,0
27/11/2020,0,0
28/11/2020,0,0
29/11/2020,0,0
30/11/2020,0,0
